author,nb_commentaires,total_likes,nb_reponses,score_influence
@jeoffrybarongo6444,2,0,0,2
@redaelhaouari871,2,0,0,2
@Sonia-g2t7x,2,0,0,2
@SouleyTime,2,0,0,2
@Pejelo,2,0,0,2
@MonikaGrzegorzewicz-b2g,2,0,0,2
@MrFFSMAN,2,0,0,2
@RusdiyantoIsmuhu,2,0,0,2
@aissadaoud-ot1qd,2,0,0,2
@sair9850,2,0,0,2
@samdeur,2,0,0,2
@samiaramdani1204,2,0,0,2
@ZackoTheWise,2,0,0,2
@a3zan,2,0,0,2
@aragoarago6790,2,0,0,2
@achrafaarab2479,2,0,0,2
@oqfood12309dqah,2,0,0,2
@alexphoibos3970,2,0,0,2
@alexs6429,2,0,0,2
@baloo-b9d,2,0,0,2
@bdahimBakkar,2,0,0,2
@moustaphakaddour7561,2,0,0,2
@amineamine-wn2lu,2,0,0,2
@amineboubechra9762,2,0,0,2
@antoniodominguezgarcia6027,2,0,0,2
@nasara8960,2,0,0,2
@nearnow-v3d,2,0,0,2
@omarmuto,2,0,0,2
@epicheroewar,2,0,0,2
@alvarodobban6130,2,0,0,2
@alzhir-moskva,2,0,0,2
@cryptostar1427,2,0,0,2
@dazzer273,2,0,0,2
@eliotfootballplayer4490,2,0,0,2
@raadr.b.h7440,2,0,0,2
@YassBA-k8h,2,0,0,2
@Youtubber-131,2,0,0,2
@TheYaskli,2,0,0,2
@oussamaouhsaine5874,2,0,0,2
@ouuumnia_bee,2,0,0,2
@aurumcaelo,2,0,0,2
@avec-zam7301,2,0,0,2
@axi271,2,0,0,2
@azdine123,2,0,0,2
@raqiie5812,2,0,0,2
@nacerwork,2,0,0,2
@bvndo-89,2,0,0,2
@cerinemahouni8039,2,0,0,2
@asss-u9r,2,0,0,2
@lilalilu-q8b,2,0,0,2
@karimrezagui415,2,0,0,2
@kell2859,2,0,0,2
@ilyasakbulut2319,2,0,0,2
@imadbouchkouri2347,2,0,0,2
@imtiazpabel4769,2,0,0,2
@liiliiniina2076,2,0,0,2
@CarpeDiemSopers,2,0,0,2
@CelticRailwayTraveller,2,0,0,2
@lkhlkable,2,0,0,2
@mafiward,2,0,0,2
@mahmoudkabi9984,2,0,0,2
@DMM6,2,0,0,2
@AntoneJohnson-w4w,2,0,0,2
@GlobalExpedition1,2,0,0,2
@HASSANDOUKKALI-w3x,2,0,0,2
@BrownDumpsterRatInYourHood,2,0,0,2
@trhv77,2,0,0,2
@tubeular5754,2,0,0,2
@Insideanatomy20,2,0,0,2
@IsmaelMarmaz,2,0,0,2
@ItsYourSB,2,0,0,2
@FalasteenMayab,2,0,0,2
@FencePleat-i6e,2,0,0,2
@titonsungu1178,2,0,0,2
@user-357xfrkvne4,2,0,0,2
@DutchMoroccan7,2,0,0,2
@Aimancitizens,2,0,0,2
@Airbiscuitmaker,2,0,0,2
@AZ-on7gg,1,0,0,1
@Aggaleiden070,1,0,0,1
@AlAyyurAtlas,1,0,0,1
@Alam-Almostakbal,1,0,0,1
@Aliboumardes,1,0,0,1
@Alonewolf-z6o,1,0,0,1
@yoney7555,1,0,0,1
@youssefnafaa2255,1,0,0,1
@youssyo1733,1,0,0,1
@yttocs_tits-c7o,1,0,0,1
@FEDsShotMOM,1,0,0,1
@FIFAYouhub111,1,0,0,1
@Famemusicoffical,1,0,0,1
@FouadAmg,1,0,0,1
@thrhtrhtw46j,1,0,0,1
@todobienencasa6924,1,0,0,1
@tomfuller4205,1,0,0,1
@tomhankstomhanks2579,1,0,0,1
@travelantics9317,1,0,0,1
@Jeangriha,1,0,0,1
@Digitalfutureguy,1,0,0,1
@DoorsneeHollander,1,0,0,1
@Gonigogo,1,0,0,1
@Byll0707,1,0,0,1
@ChajratAmlou,1,0,0,1
@makeracistsafraidagain,1,0,0,1
@imadpi6182,1,0,0,1
@lesmateur,1,0,0,1
@lesthebest3171,1,0,0,1
@lib-tardeducator6435,1,0,0,1
@lilyeti985,1,0,0,1
@linamitrani9305,1,0,0,1
@lionnnmesii,1,0,0,1
@jptv5550,1,0,0,1
@karim271,1,0,0,1
@moxatar9007,1,0,0,1
@mustapha2,1,0,0,1
@naimulislam3224,1,0,0,1
@charifcasanova6722,1,0,0,1
@rachidrakdi9096,1,0,0,1
@raheemhamzawi9607,1,0,0,1
@raoufzeghdane725,1,0,0,1
@rayaneammar739,1,0,0,1
@TaoufikSocool,1,0,0,1
@TheChosenOne-19,1,0,0,1
@abdullahsaleh5471,1,0,0,1
@abubacarjallow,1,0,0,1
@peacejen8732,1,0,0,1
@pedro01f,1,0,0,1
@planeur,1,0,0,1
@Yanzdorloph,1,0,0,1
@ZZ-ck7ey,1,0,0,1
@claudiocaponelli6987,1,0,0,1
@compassion-t9y,1,0,0,1
@greenearth9945,1,0,0,1
@edgarmanuelrendeiro,1,0,0,1
@edwardmatchaya1186,1,0,0,1
@elo3961,1,0,0,1
@elytrading,1,0,0,1
@embareklamin443,1,0,0,1
@alienware3254,1,0,0,1
@alnmen5607,1,0,0,1
@anklager-q1j,1,0,0,1
@nuadibudajla2671,1,0,0,1
@alexanderthegreat5928,1,0,0,1
@badrsalkani9809,1,0,0,1
@aaxtreme925,1,0,0,1
@abdouhouha2169,1,0,0,1
@adamgayan3241,1,0,0,1
@agholidazogagh4166,1,0,0,1
@aichalouihi4919,1,0,0,1
@aladdincom5069,1,0,0,1
@albertolope4039,1,0,0,1
@sabotagesabotage7927,1,0,0,1
@seemosofi,1,0,0,1
@Moulay_Rasta,1,0,0,1
@RulgertGhostalker,1,0,0,1
@RyanRahJah,1,0,0,1
@SadikSadik-p4e,1,0,0,1
@rbx5995,1,0,0,1
@rotopklote6954,1,0,0,1
@rumbleofdrums527,1,0,0,1
@Stellaqueengirl.,1,0,0,1
@hopeful_dude,1,0,0,1
@hrsmrt9292,1,0,0,1
@ikomed,1,0,0,1
@jamaltoufiq,1,0,0,1
@janrijnders7903,1,0,0,1
@johnaddidi3812,1,0,0,1
@haccher2176,1,0,0,1
@hafidhafid9607,1,0,0,1
@mondeoth,1,0,0,1
@moshak4804,1,0,0,1
@boukaroutali412,1,0,0,1
@deanazmane4828,1,0,0,1
@dildarbhai5767,1,0,0,1
@dominique1461,1,0,0,1
@drissmahfoudi8505,1,0,0,1
@mohammedelyoussfi4759,1,0,0,1
@fadelaguermoudi7088,1,0,0,1
@fadellasarghini5558,1,0,0,1
@fadir310,1,0,0,1
@RidouaneSaoud,1,0,0,1
@Riffi875,1,0,0,1
@Tigerblue-o8k,1,0,0,1
@Wayne_edits69,1,0,0,1
@WorldGotTalent1,1,0,0,1
@Sigmaadn,1,0,0,1
@LST25,1,0,0,1
@LacouzdaMoha,1,0,0,1
@LahcenAbassi,1,0,0,1
@LassAtlas,1,0,0,1
@Lekjaapatron,1,0,0,1
@siciidcaydaruus9595,1,0,0,1
@simonscowled9925,1,0,0,1
@star55551111,1,0,0,1
@stefanmuller9456,1,0,0,1
@suhnih4076,1,0,0,1
@Kebmlo1,1,0,0,1
@Mlhawaii,1,0,0,1
@Lotfimohamedadib,1,0,0,1
@Hakshavalah,1,0,0,1
@Hamid-m3m,1,0,0,1
@IKOBKKKONOLABO122vbksfn,1,0,0,1
@finosbaglamas7586,1,0,0,1
@freepalestine794,1,0,0,1
@freesaharaui4140,1,0,0,1
@globalrepublicoffreeland5048,1,0,0,1
@grandpatzer,1,0,0,1
@massrah8541,1,0,0,1
@mastalive,1,0,0,1
@milyhelc,1,0,0,1
@farespro45,1,0,0,1
@hannahjewell8363,1,0,0,1
@hichamcitizen7471,1,0,0,1
@hichamelbichry4863,1,0,0,1
@shinestar4039,1,0,0,1
@MrManny075,1,0,0,1
@NATO4623,1,0,0,1
@MLM_STYLE,1,0,0,1
@user-tx8vf7zq9f,1,0,0,1
@user23494-e,1,0,0,1
@wad5672,1,0,0,1
@weatherloops,1,0,0,1
@yanosxs6539,1,0,0,1
@yarabiiftah1778,1,0,0,1
@yauvoonlow9589,1,0,0,1
@yttryff6159,1,0,0,1
@Asamations,1,0,0,1
@AussieChrisBlues,1,0,0,1
@Bewberia,1,0,0,1
@ChalzHub,1,0,0,1
@ChawanHeminVlogs,1,0,0,1
@DAMHANE.0al,1,0,0,1
@kimbrolyy,1,0,0,1
@kissab3512,1,0,0,1
@larosiemhamed924,1,0,0,1
@lemek6219,1,0,0,1
@yvonnejoseph4841,1,0,0,1
@zenaboww2daud448,1,0,0,1
@zinabzegam2021,1,0,0,1
@AMNAbidi,1,0,0,1
@zouhairperesobomsawinyassir,1,0,0,1
@2860-1,1,0,0,1
@AB-fr2ei,1,0,0,1
@ydcell9983,1,0,0,1
