author,nb_commentaires,total_likes,nb_reponses,score_influence
@marcosb2392,3,9,0,21
@مهدي-ح6ط8ن,20,0,0,20
@tangokosby4663,8,6,0,20
@Wizzy678,4,2,4,20
@Alsharaylive,3,4,3,20
@Sector-6D,2,6,2,20
@Xitado.fx.,4,8,0,20
@Freakykuna.8,5,0,5,20
@ageupest5203,2,6,2,20
@thomasvanhiel6105,4,2,4,20
@noone2262,2,6,2,20
@datniggaeazye.5968,4,2,4,20
@tahmidurrahmantahsan3643,2,6,2,20
@minecraftlover-y1o,2,6,2,20
@KZ-SHOP,2,6,2,20
@IambiguousSegment,1,9,0,19
@JZS-1019,6,5,1,19
@marcosgarvey7129,1,9,0,19
@Moccalocca100,3,5,2,19
@siempre_lamisma_historia,2,7,1,19
@moroccanMarco2043,2,8,0,18
@avanishreddy8249,18,0,0,18
@brinjoness3386,1,7,1,18
@emmabrown4630,2,8,0,18
@angrypanda7180,2,8,0,18
@HSchneider-t3i,2,5,2,18
@Минск-я9б,2,8,0,18
@alahemy,4,4,2,18
@aimanfakia,2,8,0,18
@mydrissafilalidrissialami9763,4,1,4,18
@Randomguy.01,2,8,0,18
@angryyoungman66,1,7,1,18
@leevuong8843,6,6,0,18
@primesspct2,2,8,0,18
@abdelelman197,2,8,0,18
@dyBFxx5XFMoK,2,5,2,18
@gadlare55,2,8,0,18
@meriemelk9407,4,4,2,18
@mhamedkalay2640,2,8,0,18
@tisanbobai8643,1,7,1,18
@talhaazeem1765,2,8,0,18
@Axolotgamer20,2,8,0,18
@Asmo_D_euss,4,4,2,18
@DAVIDGamer-i6q,4,4,2,18
@youli3568,6,0,4,18
@Lily-m3q8v,2,8,0,18
@ildeglasesilva4470,1,8,0,17
@newuser5817,3,7,0,17
@aminouchrif33,3,4,2,17
@ahsanrasool5901,1,8,0,17
@MassNssen,1,8,0,17
@EpicVibes1-Ev,3,7,0,17
@kwakuandspinopython1346,1,8,0,17
@I.Freaking.Love.The_Moon,4,0,4,16
@hinatasama9128,2,4,2,16
@BrianCox-n1u,2,4,2,16
@BarbarosDosBelgicos,2,4,2,16
@hachem__,4,0,4,16
@imaamsky,2,4,2,16
@akremakrem7928,2,4,2,16
@simaccu,4,0,4,16
@NovaAuraX,3,2,3,16
@Misericordia-e2c,4,0,4,16
@MalikaMalika-dw8df,4,0,4,16
@kaguyaotsutsuky5840,4,0,4,16
@Morish.Maps.,2,4,2,16
@annieisafckingtrashybitch66990,4,0,4,16
@TheLordHyperSonic,4,0,4,16
@Herbalist-athari,2,5,1,15
@XtremeLife,1,7,0,15
@Freddy82-y7i,1,7,0,15
@oussama7084,3,6,0,15
@bm7586,3,3,2,15
@sabarfadila5172,3,6,0,15
@mehdibahaj7792,3,6,0,15
@cryptomaniac1866,1,7,0,15
@MM46882,1,7,0,15
@franky3640,5,2,2,15
@Oussama-c7r,2,5,1,15
@shahrulhanuarmdaris6105,1,7,0,15
